Timestamp,Record Type,Instrument Name,Premium (256ths),Quantity,Deal Source,Aggressive,Bid/Ask,Order Number,Sequence
05:01:55:114257 20180108,TRADE,2_YEAR,25558,5,1,0,B,60579400000362CC,8291
05:01:55:114257 20180108,TRADE,2_YEAR,25558,5,1,1,A,605794000003631E,8292
05:01:55:114547 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000003631F,8299
05:01:55:114547 20180108,TRADE,2_YEAR,25558,1,1,1,A,6057940000036348,8300
05:31:54:582989 20180108,TRADE,2_YEAR,25560,32,1,0,A,605794000000B4B2,9569
05:31:54:582989 20180108,TRADE,2_YEAR,25560,32,1,1,B,605794000003DEBE,9570
06:22:11:507226 20180108,TRADE,2_YEAR,25560,2,1,0,A,605794000000C337,10724
06:22:11:507226 20180108,TRADE,2_YEAR,25560,32,1,1,B,605794000004AAFF,10725
06:22:11:507226 20180108,TRADE,2_YEAR,25560,10,1,0,A,605794000000CA09,10726
06:22:11:507226 20180108,TRADE,2_YEAR,25560,6,1,0,A,605794000000F459,10727
06:22:11:507226 20180108,TRADE,2_YEAR,25560,1,1,0,A,6057940000019129,10728
06:22:11:507226 20180108,TRADE,2_YEAR,25560,8,1,0,A,605794000001AD9C,10729
06:22:11:507226 20180108,TRADE,2_YEAR,25560,5,1,0,A,60579400000214C0,10730
06:22:11:507418 20180108,TRADE,2_YEAR,25560,2,1,0,A,605794000000C337,10740
06:22:11:507418 20180108,TRADE,2_YEAR,25560,6,1,1,B,605794000004AB08,10741
06:22:11:507418 20180108,TRADE,2_YEAR,25560,4,1,0,A,605794000000CA09,10742
06:22:11:507495 20180108,TRADE,2_YEAR,25560,5,1,0,A,605794000000CA09,10745
06:22:11:507495 20180108,TRADE,2_YEAR,25560,5,1,1,B,605794000004AB0A,10746
06:22:11:507567 20180108,TRADE,2_YEAR,25560,1,1,0,A,605794000000CA09,10753
06:22:11:507567 20180108,TRADE,2_YEAR,25560,6,1,1,B,605794000004AB0E,10754
06:22:11:507567 20180108,TRADE,2_YEAR,25560,3,1,0,A,60579400000214C0,10755
