Date,Currency,Description,Producer,Record,Bid,Ask,Bid Yield %,Ask Yield %,Maturity Date,Coupon,Last Trade Price,Last Trade Size mm,Mid Yield %,Bid Size mm,Ask Size mm,Duration,Total Volume mm,Dollar Flow,Close,High,Low,Open,VWAP,VWAY %,Best Ask Size1,Best Ask Size2,Best Ask Size3,Best Ask Size4,Best Ask Size5,Best Ask1,Best Ask2,Best Ask3,Best Ask4,Best Ask5,Best Bid Size1,Best Bid Size2,Best Bid Size3,Best Bid Size4,Best Bid Size5,Best Bid1,Best Bid2,Best Bid3,Best Bid4,Best Bid5,Sequence
08/01/2018 16:06:42.526,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,54,,,,337,,,,,,17773
08/01/2018 16:06:42.839,USD,2YR NOTE,US_500,2_YEAR,99.8359375,0,,<blank>,,,,,1.96,<blank>,<blank>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17774
08/01/2018 16:06:43.073,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,882,907,749,367,,99.84375,99.8515625,99.859375,99.8671875,55,882,564,,,,,,,,17775
08/01/2018 16:06:43.073,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,81,888,899,749,,99.8359375,99.84375,99.8515625,99.859375,,868,570,,,,,,,,17776
08/01/2018 16:06:43.073,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17777
08/01/2018 16:06:43.073,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17778
08/01/2018 16:06:43.073,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17779
08/01/2018 16:06:43.261,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,69,,893,,,,,,,,,557,,,,,,,,17780
08/01/2018 16:06:43.261,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,570,,,,,,,,17781
08/01/2018 16:06:43.464,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,,,899,,,,,,,,,,,,,,,,,17782
08/01/2018 16:06:44.448,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,55,,,,,,,,,,,,,890,,,,,,,,,,,,,,,,,,17783
08/01/2018 16:06:45.823,USD,2YR NOTE,US_500,2_YEAR,99.828125,99.8359375,1.964,1.96,,,99.8359375,55,1.962,868,69,1.92616,7922,,,,,,99.837,1.95914,69,890,899,749,367,99.8359375,99.84375,99.8515625,99.859375,99.8671875,868,570,481,337,304,99.828125,99.8203125,99.8125,99.8046875,99.796875,17784
08/01/2018 16:06:46.636,USD,2YR NOTE,US_500,2_YEAR,99.828125,99.8359375,,,,,,,,868,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17785
08/01/2018 16:06:49.573,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,915,,,368,,,,,,,,,,,,,,,,17786
08/01/2018 16:06:58.714,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,913,,,367,,,,,,,568,,,,,,,,,17787
08/01/2018 16:07:13.824,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,24,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,17788
08/01/2018 16:07:25.731,USD,2YR NOTE,US_500,2_YEAR,0,99.8359375,<blank>,1.96,,,,,1.96,<blank>,<blank>,,,,,,,,,,2,,,,,,,,,,,868,568,481,337,,99.828125,99.8203125,99.8125,99.8046875,17789
08/01/2018 16:07:25.731,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17790
08/01/2018 16:07:25.731,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17791
08/01/2018 16:07:25.731,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17792
08/01/2018 16:07:25.777,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,14,,,,,,,,,,,881,900,,368,,,,,,,4,873,568,481,,99.8359375,99.828125,99.8203125,99.8125,17793
08/01/2018 16:07:25.777,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17794
08/01/2018 16:07:25.777,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17795
08/01/2018 16:07:25.777,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17796
08/01/2018 16:07:25.777,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17797
08/01/2018 16:07:25.809,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,25,,,,,,,,,,,891,907,,,,,,,,,,887,555,,,,,,,17798
08/01/2018 16:07:26.418,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,25,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,17799
08/01/2018 16:07:28.731,USD,2YR NOTE,US_500,2_YEAR,99.8359375,99.84375,1.96,1.956,,,99.8359375,25,1.958,14,891,1.926351,7947,,,,,,99.837,1.95914,891,907,749,368,332,99.84375,99.8515625,99.859375,99.8671875,99.875,14,887,555,481,337,99.8359375,99.828125,99.8203125,99.8125,99.8046875,17800
08/01/2018 16:07:29.184,USD,2YR NOTE,US_500,2_YEAR,99.8359375,99.84375,,,,,,,,14,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17801
08/01/2018 16:07:31.403,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,17802
08/01/2018 16:07:34.621,USD,2YR NOTE,US_500,2_YEAR,99.8359375,0,,<blank>,,,,,1.96,<blank>,<blank>,,,,,,,,,,,891,907,749,368,,99.84375,99.8515625,99.859375,99.8671875,2,,,,,,,,,,17803
08/01/2018 16:07:34.621,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,2,,,,,,,,,,,,,,,367,,,,,,,,,,,,,,,,17804
08/01/2018 16:07:34.621,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17805
08/01/2018 16:07:34.668,USD,2YR NOTE,US_500,2_YEAR,99.8359375,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17806
08/01/2018 16:07:37.559,USD,2YR NOTE,US_500,2_YEAR,99.8359375,99.84375,1.96,1.956,,,99.8359375,2,1.958,4,891,,7949,,,,,,99.837,1.95914,,907,749,367,332,,99.8515625,99.859375,99.8671875,99.875,4,,,,,,,,,,17807
08/01/2018 16:07:38.184,USD,2YR NOTE,US_500,2_YEAR,99.8359375,99.84375,,,,,,,,4,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17808
